n,F/P,P/F,A/F,A/P,F/A,P/A,A/G,P/G,n_1,interest_rate
29.0,197.814,0.00506,0.00102,0.201,984.068,4.975,4.853,24.141,29.0,20.0
30.0,237.376,0.00421,0.00085,0.2008,1181.9,4.979,4.873,24.263,30.0,20.0
31.0,284.852,0.00351,0.0007,0.2007,1419.3,4.982,4.891,24.368,31.0,20.0
32.0,341.822,0.00293,0.00059,0.2006,1704.1,4.985,4.906,24.459,32.0,20.0
33.0,410.186,0.00244,0.00049,0.2005,2045.9,4.988,4.919,24.537,33.0,20.0
34.0,492.224,0.00203,0.00041,0.2004,2456.1,4.99,4.931,24.604,34.0,20.0
35.0,590.668,0.00169,0.00034,0.2003,2948.3,4.992,4.941,24.661,35.0,20.0
40.0,1469.8,0.00068,0.00014,0.2001,7343.9,4.997,4.973,24.847,40.0,20.0
45.0,3657.3,0.00027,5e-05,0.2001,18281.3,4.999,4.988,24.932,45.0,20.0
50.0,9100.4,0.00011,2e-05,0.2,45497.2,4.999,4.995,24.97,50.0,20.0
55.0,22644.8,4e-05,1e-05,0.2,113219.0,5.0,4.998,24.987,55.0,20.0
60.0,56347.5,2e-05,,0.2,281732.6,5.0,4.999,24.994,60.0,20.0
1.0,1.25,0.8,1.0,1.25,1.0,0.8,0.0,0.0,1.0,25.0
2.0,1.563,0.64,0.4444,0.6944,2.25,1.44,0.444,0.64,2.0,25.0
3.0,1.953,0.512,0.2623,0.5123,3.813,1.952,0.852,1.664,3.0,25.0
4.0,2.441,0.4096,0.1734,0.4234,5.766,2.362,1.225,2.893,4.0,25.0
5.0,3.052,0.3277,0.1218,0.3718,8.207,2.689,1.563,4.204,5.0,25.0
6.0,3.815,0.2621,0.0888,0.3388,11.259,2.951,1.868,5.514,6.0,25.0
7.0,4.768,0.2097,0.0663,0.3163,15.073,3.161,2.142,6.773,7.0,25.0
8.0,5.96,0.1678,0.0504,0.3004,19.842,3.329,2.387,7.947,8.0,25.0
9.0,7.451,0.1342,0.0388,0.2888,25.802,3.463,2.605,9.021,9.0,25.0
10.0,9.313,0.1074,0.0301,0.2801,33.253,3.571,2.797,9.987,10.0,25.0
11.0,11.642,0.0859,0.0235,0.2735,42.566,3.656,2.966,10.846,11.0,25.0
12.0,14.552,0.0687,0.0184,0.2684,54.208,3.725,3.115,11.602,12.0,25.0
13.0,18.19,0.055,0.0145,0.2645,68.76,3.78,3.244,12.262,13.0,25.0
14.0,22.737,0.044,0.0115,0.2615,86.949,3.824,3.356,12.833,14.0,25.0
15.0,28.422,0.0352,0.00912,0.2591,109.687,3.859,3.453,13.326,15.0,25.0
16.0,35.527,0.0281,0.00724,0.2572,138.109,3.887,3.537,13.748,16.0,25.0
17.0,44.409,0.0225,0.00576,0.2558,173.636,3.91,3.608,14.108,17.0,25.0
18.0,55.511,0.018,0.00459,0.2546,218.045,3.928,3.67,14.415,18.0,25.0
19.0,69.389,0.0144,0.00366,0.2537,273.556,3.942,3.722,14.674,19.0,25.0
20.0,86.736,0.0115,0.00292,0.2529,342.945,3.954,3.767,14.893,20.0,25.0
21.0,108.42,0.00922,0.00233,0.2523,429.681,3.963,3.805,15.078,21.0,25.0
22.0,135.525,0.00738,0.00186,0.2519,538.101,3.97,3.836,15.233,22.0,25.0
23.0,169.407,0.0059,0.00148,0.2515,673.626,3.976,3.863,15.362,23.0,25.0
24.0,211.758,0.00472,0.00119,0.2512,843.033,3.981,3.886,15.471,24.0,25.0
25.0,264.698,0.00378,0.00095,0.2509,1054.8,3.985,3.905,15.562,25.0,25.0
26.0,330.872,0.00302,0.00076,0.2508,1319.5,3.988,3.921,15.637,26.0,25.0
27.0,413.59,0.00242,0.00061,0.2506,1650.4,3.99,3.935,15.7,27.0,25.0
28.0,516.988,0.00193,0.00048,0.2505,2064.0,3.992,3.946,15.752,28.0,25.0
29.0,646.235,0.00155,0.00039,0.2504,2580.9,3.994,3.955,15.796,29.0,25.0
30.0,807.794,0.00124,0.00031,0.2503,3227.2,3.995,3.963,15.832,30.0,25.0
31.0,1009.7,0.00099,0.00025,0.2502,4035.0,3.996,3.969,15.861,31.0,25.0
32.0,1262.2,0.00079,0.0002,0.2502,5044.7,3.997,3.975,15.886,32.0,25.0
33.0,1577.7,0.00063,0.00016,0.2502,6306.9,3.997,3.979,15.906,33.0,25.0
34.0,1972.2,0.00051,0.00013,0.2501,7884.6,3.998,3.983,15.923,34.0,25.0
35.0,2465.2,0.00041,0.0001,0.2501,9856.8,3.998,3.986,15.937,35.0,25.0
40.0,7523.2,0.00013,3e-05,0.25,30088.7,3.999,3.995,15.977,40.0,25.0
45.0,22958.9,4e-05,1e-05,0.25,91831.5,4.0,3.998,15.991,45.0,25.0
50.0,70064.9,1e-05,,0.25,280255.7,4.0,3.999,15.997,50.0,25.0
55.0,213821.2,,,0.25,855280.7,4.0,4.0,15.999,55.0,25.0
1.0,1.3,0.7692,1.0,1.3,1.0,0.769,0.0,0.0,1.0,30.0
2.0,1.69,0.5917,0.4348,0.7348,2.3,1.361,0.435,0.592,2.0,30.0
3.0,2.197,0.4552,0.2506,0.5506,3.99,1.816,0.827,1.502,3.0,30.0
4.0,2.856,0.3501,0.1616,0.4616,6.187,2.166,1.178,2.552,4.0,30.0
5.0,3.713,0.2693,0.1106,0.4106,9.043,2.436,1.49,3.63,5.0,30.0
6.0,4.827,0.2072,0.0784,0.3784,12.756,2.643,1.765,4.666,6.0,30.0
7.0,6.275,0.1594,0.0569,0.3569,17.583,2.802,2.006,5.622,7.0,30.0
8.0,8.157,0.1226,0.0419,0.3419,23.858,2.925,2.216,6.48,8.0,30.0
9.0,10.604,0.0943,0.0312,0.3312,32.015,3.019,2.396,7.234,9.0,30.0
10.0,13.786,0.0725,0.0235,0.3235,42.619,3.092,2.551,7.887,10.0,30.0
11.0,17.922,0.0558,0.0177,0.3177,56.405,3.147,2.683,8.445,11.0,30.0
12.0,23.298,0.0429,0.0135,0.3135,74.327,3.19,2.795,8.917,12.0,30.0
13.0,30.287,0.033,0.0102,0.3102,97.625,3.223,2.889,9.314,13.0,30.0
14.0,39.374,0.0254,0.00782,0.3078,127.912,3.249,2.969,9.644,14.0,30.0
15.0,51.186,0.0195,0.00598,0.306,167.286,3.268,3.034,9.917,15.0,30.0
16.0,66.542,0.015,0.00458,0.3046,218.472,3.283,3.089,10.143,16.0,30.0
17.0,86.504,0.0116,0.00351,0.3035,285.014,3.295,3.135,10.328,17.0,30.0
18.0,112.455,0.00889,0.00269,0.3027,371.518,3.304,3.172,10.479,18.0,30.0
19.0,146.192,0.00684,0.00207,0.3021,483.973,3.311,3.202,10.602,19.0,30.0
20.0,190.049,0.00526,0.00159,0.3016,630.165,3.316,3.228,10.702,20.0,30.0
21.0,247.064,0.00405,0.00122,0.3012,820.214,3.32,3.248,10.783,21.0,30.0
22.0,321.184,0.00311,0.00094,0.3009,1067.3,3.323,3.265,10.848,22.0,30.0
23.0,417.539,0.00239,0.00072,0.3007,1388.5,3.325,3.278,10.901,23.0,30.0
24.0,542.8,0.00184,0.00055,0.3006,1806.0,3.327,3.289,10.943,24.0,30.0
25.0,705.64,0.00142,0.00043,0.3004,2348.8,3.329,3.298,10.977,25.0,30.0
26.0,917.332,0.00109,0.00033,0.3003,3054.4,3.33,3.305,11.005,26.0,30.0
27.0,1192.5,0.00084,0.00025,0.3003,3971.8,3.331,3.311,11.026,27.0,30.0
28.0,1550.3,0.00065,0.00019,0.3002,5164.3,3.331,3.315,11.044,28.0,30.0
29.0,2015.4,0.0005,0.00015,0.3001,6714.6,3.332,3.319,11.058,29.0,30.0
30.0,2620.0,0.00038,0.00011,0.3001,8730.0,3.332,3.322,11.069,30.0,30.0
31.0,3406.0,0.00029,9e-05,0.3001,11350.0,3.332,3.324,11.078,31.0,30.0
32.0,4427.8,0.00023,7e-05,0.3001,14756.0,3.333,3.326,11.085,32.0,30.0
33.0,5756.1,0.00017,5e-05,0.3001,19183.7,3.333,3.328,11.09,33.0,30.0
34.0,7483.0,0.00013,4e-05,0.3,24939.9,3.333,3.329,11.094,34.0,30.0
35.0,9727.8,0.0001,3e-05,0.3,32422.8,3.333,3.33,11.098,35.0,30.0
40.0,36118.8,3e-05,1e-05,0.3,120392.6,3.333,3.332,11.107,40.0,30.0
45.0,134106.5,1e-05,,0.3,447018.3,3.333,3.333,11.11,45.0,30.0
1.0,1.35,0.7407,1.0,1.35,1.0,0.741,0.0,0.0,1.0,35.0
2.0,1.822,0.5487,0.4255,0.7755,2.35,1.289,0.426,0.549,2.0,35.0
3.0,2.46,0.4064,0.2397,0.5897,4.173,1.696,0.803,1.362,3.0,35.0
4.0,3.322,0.3011,0.1508,0.5008,6.633,1.997,1.134,2.265,4.0,35.0
5.0,4.484,0.223,0.1005,0.4505,9.954,2.22,1.422,3.157,5.0,35.0
6.0,6.053,0.1652,0.0693,0.4193,14.438,2.385,1.67,3.983,6.0,35.0
7.0,8.172,0.1224,0.0488,0.3988,20.492,2.508,1.881,4.717,7.0,35.0
8.0,11.032,0.0906,0.0349,0.3849,28.664,2.598,2.06,5.352,8.0,35.0
9.0,14.894,0.0671,0.0252,0.3752,39.696,2.665,2.209,5.889,9.0,35.0
10.0,20.107,0.0497,0.0183,0.3683,54.59,2.715,2.334,6.336,10.0,35.0
11.0,27.144,0.0368,0.0134,0.3634,74.697,2.752,2.436,6.705,11.0,35.0
12.0,36.644,0.0273,0.00982,0.3598,101.841,2.779,2.52,7.005,12.0,35.0
13.0,49.47,0.0202,0.00722,0.3572,138.485,2.799,2.589,7.247,13.0,35.0
14.0,66.784,0.015,0.00532,0.3553,187.954,2.814,2.644,7.442,14.0,35.0
15.0,90.158,0.0111,0.00393,0.3539,254.739,2.825,2.689,7.597,15.0,35.0
16.0,121.714,0.00822,0.0029,0.3529,344.897,2.834,2.725,7.721,16.0,35.0
17.0,164.314,0.00609,0.00214,0.3521,466.611,2.84,2.753,7.818,17.0,35.0
18.0,221.824,0.00451,0.00158,0.3516,630.925,2.844,2.776,7.895,18.0,35.0
19.0,299.462,0.00334,0.00117,0.3512,852.748,2.848,2.793,7.955,19.0,35.0
20.0,404.274,0.00247,0.00087,0.3509,1152.2,2.85,2.808,8.002,20.0,35.0
21.0,545.769,0.00183,0.00064,0.3506,1556.5,2.852,2.819,8.038,21.0,35.0
22.0,736.789,0.00136,0.00048,0.3505,2102.3,2.853,2.827,8.067,22.0,35.0
23.0,994.665,0.00101,0.00035,0.3504,2839.0,2.854,2.834,8.089,23.0,35.0
24.0,1342.8,0.00074,0.00026,0.3503,3833.7,2.855,2.839,8.106,24.0,35.0
25.0,1812.8,0.00055,0.00019,0.3502,5176.5,2.856,2.843,8.119,25.0,35.0
26.0,2447.2,0.00041,0.00014,0.3501,6989.3,2.856,2.847,8.13,26.0,35.0
27.0,3303.8,0.0003,0.00011,0.3501,9436.5,2.856,2.849,8.137,27.0,35.0
28.0,4460.1,0.00022,8e-05,0.3501,12740.3,2.857,2.851,8.143,28.0,35.0
29.0,6021.1,0.00017,6e-05,0.3501,17200.4,2.857,2.852,8.148,29.0,35.0
30.0,8128.5,0.00012,4e-05,0.35,23221.6,2.857,2.853,8.152,30.0,35.0
31.0,10973.5,9e-05,3e-05,0.35,31350.1,2.857,2.854,8.154,31.0,35.0
32.0,14814.3,7e-05,2e-05,0.35,42323.7,2.857,2.855,8.157,32.0,35.0
33.0,19999.3,5e-05,2e-05,0.35,57137.9,2.857,2.855,8.158,33.0,35.0
34.0,26999.0,4e-05,1e-05,0.35,77137.2,2.857,2.856,8.159,34.0,35.0
35.0,36448.7,3e-05,1e-05,0.35,104136.3,2.857,2.856,8.16,35.0,35.0
1.0,1.4,0.7143,1.0,1.4,1.0,0.714,0.0,0.0,1.0,40.0
2.0,1.96,0.5102,0.4167,0.8167,2.4,1.224,0.417,0.51,2.0,40.0
