n,F/P,P/F,A/F,A/P,F/A,P/A,A/G,P/G,n_1,interest_rate
20.0,1688.0,0.00059,0.00027,0.4503,3748.8,2.221,2.21,4.909,20.0,45.0
21.0,2447.5,0.00041,0.00018,0.4502,5436.7,2.221,2.214,4.917,21.0,45.0
22.0,3548.9,0.00028,0.00013,0.4501,7884.3,2.222,2.216,4.923,22.0,45.0
23.0,5145.9,0.00019,9e-05,0.4501,11433.2,2.222,2.218,4.927,23.0,45.0
24.0,7461.6,0.00013,6e-05,0.4501,16579.1,2.222,2.219,4.93,24.0,45.0
25.0,10819.3,9e-05,4e-05,0.45,24040.7,2.222,2.22,4.933,25.0,45.0
26.0,15688.0,6e-05,3e-05,0.45,34860.1,2.222,2.221,4.934,26.0,45.0
27.0,22747.7,4e-05,2e-05,0.45,50548.1,2.222,2.221,4.935,27.0,45.0
28.0,32984.1,3e-05,1e-05,0.45,73295.8,2.222,2.221,4.936,28.0,45.0
29.0,47826.9,2e-05,1e-05,0.45,106279.9,2.222,2.222,4.937,29.0,45.0
30.0,69349.1,1e-05,1e-05,0.45,154106.8,2.222,2.222,4.937,30.0,45.0
31.0,100556.1,1e-05,,0.45,223455.9,2.222,2.222,4.938,31.0,45.0
32.0,145806.4,1e-05,,0.45,324012.0,2.222,2.222,4.938,32.0,45.0
33.0,211419.3,,,0.45,469818.5,2.222,2.222,4.938,33.0,45.0
34.0,306558.0,,,0.45,681237.8,2.222,2.222,4.938,34.0,45.0
35.0,444509.2,,,0.45,987795.9,2.222,2.222,4.938,35.0,45.0
1.0,1.5,0.6667,1.0,1.5,1.0,0.667,0.0,0.0,1.0,50.0
2.0,2.25,0.4444,0.4,0.9,2.5,1.111,0.4,0.444,2.0,50.0
3.0,3.375,0.2963,0.2105,0.7105,4.75,1.407,0.737,1.037,3.0,50.0
4.0,5.063,0.1975,0.1231,0.6231,8.125,1.605,1.015,1.63,4.0,50.0
5.0,7.594,0.1317,0.0758,0.5758,13.188,1.737,1.242,2.156,5.0,50.0
6.0,11.391,0.0878,0.0481,0.5481,20.781,1.824,1.423,2.595,6.0,50.0
7.0,17.086,0.0585,0.0311,0.5311,32.172,1.883,1.565,2.947,7.0,50.0
8.0,25.629,0.039,0.0203,0.5203,49.258,1.922,1.675,3.22,8.0,50.0
9.0,38.443,0.026,0.0134,0.5134,74.887,1.948,1.76,3.428,9.0,50.0
10.0,57.665,0.0173,0.00882,0.5088,113.33,1.965,1.824,3.584,10.0,50.0
11.0,86.498,0.0116,0.00585,0.5058,170.995,1.977,1.871,3.699,11.0,50.0
12.0,129.746,0.00771,0.00388,0.5039,257.493,1.985,1.907,3.784,12.0,50.0
13.0,194.62,0.00514,0.00258,0.5026,387.239,1.99,1.933,3.846,13.0,50.0
14.0,291.929,0.00343,0.00172,0.5017,581.859,1.993,1.952,3.89,14.0,50.0
15.0,437.894,0.00228,0.00114,0.5011,873.788,1.995,1.966,3.922,15.0,50.0
16.0,656.814,0.00152,0.00076,0.5008,1311.7,1.997,1.976,3.945,16.0,50.0
17.0,985.261,0.00101,0.00051,0.5005,1968.5,1.998,1.983,3.961,17.0,50.0
18.0,1477.9,0.00068,0.00034,0.5003,2953.8,1.999,1.988,3.973,18.0,50.0
19.0,2216.8,0.00045,0.00023,0.5002,4431.7,1.999,1.991,3.981,19.0,50.0
20.0,3325.3,0.0003,0.00015,0.5002,6648.5,1.999,1.994,3.987,20.0,50.0
21.0,4987.9,0.0002,0.0001,0.5001,9973.8,2.0,1.996,3.991,21.0,50.0
22.0,7481.8,0.00013,7e-05,0.5001,14961.7,2.0,1.997,3.994,22.0,50.0
23.0,11222.7,9e-05,4e-05,0.5,22443.5,2.0,1.998,3.996,23.0,50.0
24.0,16834.1,6e-05,3e-05,0.5,33666.2,2.0,1.999,3.997,24.0,50.0
25.0,25251.2,4e-05,2e-05,0.5,50500.3,2.0,1.999,3.998,25.0,50.0
26.0,37876.8,3e-05,1e-05,0.5,75751.5,2.0,1.999,3.999,26.0,50.0
27.0,56815.1,2e-05,1e-05,0.5,113628.3,2.0,2.0,3.999,27.0,50.0
28.0,85222.7,1e-05,1e-05,0.5,170443.4,2.0,2.0,3.999,28.0,50.0
29.0,127834.0,1e-05,,0.5,255666.1,2.0,2.0,4.0,29.0,50.0
30.0,191751.1,1e-05,,0.5,383500.1,2.0,2.0,4.0,30.0,50.0
31.0,287626.6,,,0.5,575251.2,2.0,2.0,4.0,31.0,50.0
32.0,431439.9,,,0.5,862877.8,2.0,2.0,4.0,32.0,50.0
1.0,1.6,0.625,1.0,1.6,1.0,0.625,0.0,0.0,1.0,60.0
2.0,2.56,0.3906,0.3846,0.9846,2.6,1.016,0.385,0.391,2.0,60.0
3.0,4.096,0.2441,0.1938,0.7938,5.16,1.26,0.698,0.879,3.0,60.0
4.0,6.554,0.1526,0.108,0.708,9.256,1.412,0.946,1.337,4.0,60.0
5.0,10.486,0.0954,0.0633,0.6633,15.81,1.508,1.14,1.718,5.0,60.0
6.0,16.777,0.0596,0.038,0.638,26.295,1.567,1.286,2.016,6.0,60.0
7.0,26.844,0.0373,0.0232,0.6232,43.073,1.605,1.396,2.24,7.0,60.0
8.0,42.95,0.0233,0.0143,0.6143,69.916,1.628,1.476,2.403,8.0,60.0
9.0,68.719,0.0146,0.00886,0.6089,112.866,1.642,1.534,2.519,9.0,60.0
10.0,109.951,0.00909,0.00551,0.6055,181.585,1.652,1.575,2.601,10.0,60.0
11.0,175.922,0.00568,0.00343,0.6034,291.536,1.657,1.604,2.658,11.0,60.0
12.0,281.475,0.00355,0.00214,0.6021,467.458,1.661,1.624,2.697,12.0,60.0
13.0,450.36,0.00222,0.00134,0.6013,748.933,1.663,1.638,2.724,13.0,60.0
14.0,720.576,0.00139,0.00083,0.6008,1199.3,1.664,1.647,2.742,14.0,60.0
15.0,1152.9,0.00087,0.00052,0.6005,1919.9,1.665,1.654,2.754,15.0,60.0
16.0,1844.7,0.00054,0.00033,0.6003,3072.8,1.666,1.658,2.762,16.0,60.0
17.0,2951.5,0.00034,0.0002,0.6002,4917.5,1.666,1.661,2.767,17.0,60.0
18.0,4722.4,0.00021,0.00013,0.6001,7868.9,1.666,1.663,2.771,18.0,60.0
19.0,7555.8,0.00013,8e-05,0.6011,12591.3,1.666,1.664,2.773,19.0,60.0
20.0,12089.3,8e-05,5e-05,0.6,20147.1,1.667,1.665,2.775,20.0,60.0
21.0,19342.8,5e-05,3e-05,0.6,32236.3,1.667,1.666,2.776,21.0,60.0
22.0,30948.5,3e-05,2e-05,0.6,51579.2,1.667,1.666,2.777,22.0,60.0
23.0,49517.6,2e-05,1e-05,0.6,82527.6,1.667,1.666,2.777,23.0,60.0
24.0,79228.1,1e-05,1e-05,0.6,132045.2,1.667,1.666,2.777,24.0,60.0
25.0,126765.0,1e-05,,0.6,211273.4,1.667,1.666,2.777,25.0,60.0
26.0,202824.0,,,0.6,338038.4,1.667,1.667,2.778,26.0,60.0
27.0,324518.4,,,0.6,540862.4,1.667,1.667,2.778,27.0,60.0
28.0,519229.5,,,0.6,865380.9,1.667,1.667,2.778,28.0,60.0
